Timestamp,Timestamp,Header, ,joint_head,joint_head,joint_head,joint_neck,joint_neck,joint_neck,joint_torso,joint_torso,joint_torso,joint_waist,joint_waist,joint_waist,joint_left_collar,joint_left_collar,joint_left_collar,joint_left_shoulder,joint_left_shoulder,joint_left_shoulder,joint_left_elbow,joint_left_elbow,joint_left_elbow,joint_left_wrist,joint_left_wrist,joint_left_wrist,joint_left_hand,joint_left_hand,joint_left_hand,joint_right_collar,joint_right_collar,joint_right_collar,joint_right_shoulder,joint_right_shoulder,joint_right_shoulder,joint_right_elbow,joint_right_elbow,joint_right_elbow,joint_right_wrist,joint_right_wrist,joint_right_wrist,joint_right_hand,joint_right_hand,joint_right_hand,joint_left_hip,joint_left_hip,joint_left_hip,joint_left_knee,joint_left_knee,joint_left_knee,joint_left_ankle,joint_left_ankle,joint_left_ankle,joint_right_hip,joint_right_hip,joint_right_hip,joint_right_knee,joint_right_knee,joint_right_knee,joint_right_ankle,joint_right_ankle,joint_right_ankle,
sec,nsec,seq, ,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,

1622212156,28901791,146, ,186.44,293.543,2189.68,175.56,170.626,2147.66,170.321,-191.547,2109.1,171.672,-383.671,2066.06,174.312,84.3261,2138.47,344.308,78.4039,2165.43,401.214,-208.939,2158.35,410.875,-437.542,2013.1,412.808,-483.262,1984.05,174.312,84.3261,2138.47,2.90825,90.168,2115.81,-121.175,-0.0311012,1866.17,-114.005,1.18965,1595.25,-112.571,1.4338,1541.06,282.874,-450.154,2073.03,260.583,-850.686,1923.83,260.583,-1255.73,1923.83,57.6011,-444.07,2065.25,95.464,-857.172,1959.91,95.464,-1262.21,1959.91,
1622212156,57911758,147, ,190.008,293.763,2190.16,180.121,170.57,2148.62,174.579,-191.154,2108.87,173.875,-382.576,2066.14,178.798,84.206,2139.13,348.012,75.4569,2162.84,401.932,-212.389,2158.06,413.944,-440.328,2013.49,416.346,-485.916,1984.58,178.798,84.206,2139.13,8.06038,88.6518,2115.15,-120.05,13.1966,1862.8,-109.511,13.1711,1592.82,-107.403,13.166,1538.82,284.527,-449.558,2074.6,262.452,-852.108,1927.94,262.452,-1257.61,1927.94,60.1908,-444.262,2066.15,96.3213,-858.255,1959.63,96.3213,-1263.75,1959.63,
1622212156,91192277,148, ,191.091,293.843,2190.64,183.555,170.522,2149,176.733,-190.341,2108.68,174.941,-381.383,2066.24,181.921,84.0832,2139.34,350.179,73.341,2163.8,403.895,-214.112,2158.63,418.067,-442.139,2011.52,420.901,-487.745,1982.09,181.921,84.0832,2139.34,12.408,87.19,2114.48,-112.882,23.7907,1857.92,-110.509,21.1581,1586.21,-110.035,20.6316,1531.87,284.818,-449.788,2075.97,262.377,-852.811,1928.03,262.377,-1258.77,1928.03,60.9967,-442.923,2067.05,97.7041,-857.018,1957.53,97.7041,-1262.97,1957.53,
1622212156,122600195,149, ,191.346,293.796,2191.01,185.257,170.476,2149.16,177.61,-189.334,2108.56,175.43,-380.126,2066.36,183.418,83.9547,2139.39,351.051,71.8063,2164.85,405.275,-215.132,2159.44,417.615,-442.453,2013.5,420.083,-487.918,1984.32,183.418,83.9547,2139.39,13.7197,87.7081,2114.6,-118.756,46.783,1857.55,121.496,165.991,1823.02,169.546,189.832,1816.12,284.786,-449.921,2076.07,262.431,-854.087,1928.85,262.431,-1260.5,1928.85,61.6956,-442.665,2067.77,100.209,-856.797,1955.81,100.209,-1263.21,1955.81,
1622212156,152540092,150, ,191.441,293.567,2191.9,186.104,170.429,2149.29,178.041,-188.392,2108.55,175.851,-379.035,2066.7,184.158,83.8182,2139.46,351.343,70.7044,2165.7,406.591,-215.78,2160.67,418.279,-443.31,2016.86,420.617,-488.816,1988.1,184.158,83.8182,2139.46,14.4119,87.7694,2114.54,-98.6139,65.8657,1846.41,127.55,127.181,1979.36,172.783,139.445,2005.96,284.923,-450.458,2076.44,262.458,-855.52,1929.49,262.458,-1262.39,1929.49,62.082,-442.676,2068.67,104.926,-855.93,1952.22,104.926,-1262.8,1952.22,
1622212156,194309661,151, ,191.527,293.417,2192.75,186.838,170.41,2149.48,178.424,-187.59,2108.61,176.349,-378.128,2067.13,184.8,83.7096,2139.58,351.615,69.8548,2166.83,408.325,-216.221,2163.3,419.097,-444.773,2022.45,421.252,-490.484,1994.28,184.8,83.7096,2139.58,15.0262,87.7571,2114.66,-54.2249,64.9369,1832.25,-96.982,51.4294,1567.34,-105.533,48.7279,1514.35,285.47,-450.569,2077.33,262.646,-856.012,1929.42,262.646,-1263.35,1929.42,62.4103,-442.613,2069.96,109.038,-856.014,1952.89,109.038,-1263.35,1952.89,
1622212156,223372803,152, ,191.563,293.254,2193.63,187.56,170.393,2149.72,178.733,-186.945,2108.68,176.826,-377.407,2067.56,185.416,83.6036,2139.75,351.79,68.9132,2168.06,409.428,-216.947,2166.58,419.748,-443.751,2023.89,421.812,-489.112,1995.35,185.416,83.6036,2139.75,15.6458,87.7389,2114.79,-82.7745,53.6039,1842.41,-101.414,54.5654,1574.91,-105.141,54.7577,1521.41,285.925,-451.109,2078.07,263.057,-857.257,1930.17,263.057,-1265.05,1930.17,62.5941,-442.622,2070.37,105.405,-854.804,1945.37,105.405,-1262.6,1945.37,
1622212156,260695678,153, ,191.601,293.037,2194.6,188.258,170.369,2149.95,179.155,-186.453,2108.74,177.352,-376.848,2067.95,186.041,83.4887,2139.91,351.862,67.8827,2169.3,410.578,-216.67,2170.22,420.223,-441.277,2024.71,422.152,-486.199,1995.61,186.041,83.4887,2139.91,16.3015,87.6776,2114.77,-87.0352,52.0831,1845.56,-108.504,54.9092,1578.64,-112.798,55.4745,1525.26,286.406,-451.701,2078.95,263.635,-858.061,1929.79,263.635,-1266.32,1929.79,62.9575,-443.06,2070.16,92.3945,-853.812,1934.84,92.3945,-1262.07,1934.84,
1622212156,291711580,154, ,191.673,292.803,2195.56,189.103,170.342,2150.16,179.735,-186.079,2108.79,177.912,-376.414,2068.3,186.817,83.3713,2140.06,352.248,67.1148,2170.4,412.738,-217.361,2173.92,421.859,-440.878,2027.13,423.684,-485.582,1997.77,186.817,83.3713,2140.06,17.1059,87.6062,2114.75,-81.3271,56.1358,1842.87,138.312,130.368,1976.44,182.24,145.214,2003.15,286.923,-452.144,2079.63,264.592,-858.854,1929.61,264.592,-1267.57,1929.61,63.4124,-443.454,2069.87,82.1607,-851.475,1922.95,82.1607,-1260.2,1922.95,
1622212156,322295407,155, ,191.753,292.587,2196.48,190.018,170.317,2150.43,180.442,-185.792,2108.83,178.558,-376.082,2068.65,187.677,83.2564,2140.26,353.67,67.9282,2171.57,417.175,-216.101,2180.18,425.432,-439.094,2032.76,427.083,-483.693,2003.28,187.677,83.2564,2140.26,18.0385,87.4865,2114.72,226.143,171.455,2300.25,291.848,179.183,2559.39,318.542,182.323,2664.66,287.507,-452.179,2080.8,265.885,-859.158,1929.73,265.885,-1268.34,1929.73,64.193,-443.998,2069.58,107.991,-849.891,1920.4,107.991,-1259.08,1920.4,
1622212156,356919800,156, ,191.838,292.393,2197.24,190.91,170.292,2150.67,181.116,-185.582,2108.86,179.191,-375.825,2068.95,188.512,83.143,2140.43,355.44,69.2254,2172.06,416.426,-215.69,2180.03,431.288,-439.436,2034.36,434.26,-484.185,2005.23,188.512,83.143,2140.43,18.9214,87.4111,2114.72,18.9214,-204.068,2114.72,18.9214,-471.467,2114.72,18.9214,-580.243,2114.72,288.146,-452.158,2080.44,268.26,-860.694,1931.76,268.26,-1270.33,1931.76,65.119,-444.528,2069.09,124.422,-846.765,1913.88,124.422,-1256.4,1913.88,
1622212156,393328234,157, ,191.921,292.245,2197.81,191.724,170.267,2150.94,181.826,-185.439,2108.9,179.871,-375.705,2069.57,189.297,83.0486,2140.63,356.822,70.3036,2173.79,415.582,-215.369,2180.32,435.55,-442.171,2040.16,439.543,-487.532,2012.13,189.297,83.0486,2140.63,19.7141,87.3637,2114.72,19.7141,-204.363,2114.72,19.7141,-471.727,2114.72,19.7141,-580.599,2114.72,288.763,-452.269,2080,270.722,-862.429,1934.29,270.722,-1272.43,1934.29,66.1927,-445.119,2069.25,147.44,-845.591,1918.23,147.44,-1255.59,1918.23,
1622212156,425903971,158, ,192,292.338,2197.29,192.327,170.245,2151.01,182.539,-185.377,2108.93,180.563,-375.686,2070.31,189.925,82.9659,2140.68,357.428,70.0542,2173.16,414.955,-216.048,2180.66,440.741,-448.11,2050.47,445.898,-494.523,2024.43,189.925,82.9659,2140.68,20.3418,87.2624,2114.66,20.3418,-204.662,2114.66,20.3418,-471.999,2114.66,20.3418,-580.948,2114.66,289.456,-452.338,2079.94,272.807,-863.318,1935.32,272.807,-1273.61,1935.32,66.8624,-444.966,2069.39,136.408,-852.734,1931.6,136.408,-1263.03,1931.6,
1622212156,459451746,159, ,192.076,292.332,2196.77,192.993,170.217,2151.04,183.229,-185.37,2108.94,181.244,-375.708,2071.01,190.595,82.8884,2140.7,358.114,69.8695,2172.37,414.28,-216.631,2181.06,438.03,-446.983,2047.53,442.78,-493.053,2020.82,190.595,82.8884,2140.7,21.0635,87.1362,2114.6,21.0635,-204.947,2114.6,21.0635,-472.261,2114.6,21.0635,-581.272,2114.6,290.738,-451.259,2080.08,272.146,-862.317,1935.06,272.146,-1272.84,1935.06,67.5616,-444.907,2069.52,129.007,-852.653,1927,129.007,-1263.18,1927,
