,Gesture Name,joint_head_x,joint_head_y,joint_head_z,joint_neck_x,joint_neck_y,joint_neck_z,joint_torso_x,joint_torso_y,joint_torso_z,joint_waist_x,joint_waist_y,joint_waist_z,joint_left_collar_x,joint_left_collar_y,joint_left_collar_z,joint_left_shoulder_x,joint_left_shoulder_y,joint_left_shoulder_z,joint_left_elbow_x,joint_left_elbow_y,joint_left_elbow_z,joint_left_wrist_x,joint_left_wrist_y,joint_left_wrist_z,joint_left_hand_x,joint_left_hand_y,joint_left_hand_z,joint_right_collar_x,joint_right_collar_y,joint_right_collar_z,joint_right_shoulder_x,joint_right_shoulder_y,joint_right_shoulder_z,joint_right_elbow_x,joint_right_elbow_y,joint_right_elbow_z,joint_right_wrist_x,joint_right_wrist_y,joint_right_wrist_z,joint_right_hand_x,joint_right_hand_y,joint_right_hand_z,joint_left_hip_x,joint_left_hip_y,joint_left_hip_z,joint_left_knee_x,joint_left_knee_y,joint_left_knee_z,joint_left_ankle_x,joint_left_ankle_y,joint_left_ankle_z,joint_right_hip_x,joint_right_hip_y,joint_right_hip_z,joint_right_knee_x,joint_right_knee_y,joint_right_knee_z,joint_right_ankle_x,joint_right_ankle_y,joint_right_ankle_z
4576,Take SX,-20.3231,295.17400000000004,2203.22,-12.5444,171.558,2164.58,-16.6808,-188.547,2145.05,-18.8759,-378.412,2097.38,-13.5573,83.3781,2159.8,168.187,99.6122,2179.77,454.541,128.004,2241.59,474.45099999999996,414.224,2204.47,478.43300000000005,471.468,2197.04,-13.5573,83.3781,2159.8,-180.231,72.4708,2176.14,-226.38299999999998,-218.019,2165.52,-254.11,-460.43699999999995,2010.08,-259.655,-508.92,1978.99,100.259,-444.267,2091.73,93.46700000000001,-851.827,1936.56,93.46700000000001,-1263.96,1936.56,-134.797,-450.55400000000003,2104.54,-126.10600000000001,-813.122,1862.26,-126.10600000000001,-1225.25,1862.26
6473,No Gesture,-185.96099999999998,445.045,1642.63,-177.743,314.716,1629.76,-151.888,-41.9481,1670.33,-140.662,-244.264,1634.9,-171.301,225.854,1639.87,-2.37129,219.612,1644.33,60.6129,-59.5079,1702.87,116.491,-305.363,1556.86,127.667,-354.534,1527.66,-171.301,225.854,1639.87,-348.037,211.676,1649.63,-411.80300000000005,-72.5206,1671.27,-468.97900000000004,-324.014,1535.75,-480.414,-374.31199999999995,1508.64,-27.7285,-293.709,1624.12,-66.1832,-661.63,1375.99,-66.1832,-1080.07,1375.99,-245.65599999999998,-309.819,1628.87,-245.65599999999998,-755.255,1628.87,-245.65599999999998,-1173.69,1628.87
213,Drop DX,311.904,314.712,2002.5,319.853,190.456,1979.16,301.72900000000004,-154.827,1978.59,290.677,-342.731,1940.88,315.367,104.992,1979.01,485.733,95.6046,1961.28,556.586,-179.922,1967.29,559.004,-406.418,1830.1,559.488,-451.717,1802.66,315.367,104.992,1979.01,153.61700000000002,105.2,2023.08,-128.319,79.1993,2051.49,-266.101,182.764,1850.45,-293.657,203.476,1810.24,392.49699999999996,-413.491,1933.33,360.23199999999997,-792.658,1758.56,360.23199999999997,-1192.03,1758.56,181.357,-401.043,1945.41,162.767,-791.42,1795.03,162.767,-1190.79,1795.03
3963,Take DX,108.37,322.033,1914.65,84.132,197.546,1916.92,67.4334,-136.99200000000002,1835.06,66.0416,-345.471,1779.57,79.8172,111.105,1895.77,187.84,86.995,2011.28,229.979,-203.579,1975.32,331.31800000000004,-450.57800000000003,1934.81,351.585,-499.978,1926.7,79.8172,111.105,1895.77,-18.3494,133.21200000000002,1785.63,5.5564800000000005,161.175,1492.12,92.96799999999999,402.45,1576.17,110.45,450.705,1592.98,164.955,-381.745,1826.06,167.30900000000003,-791.188,1658.86,167.30900000000003,-1206.96,1658.86,-39.189,-362.265,1737.98,81.5701,-687.335,1463.47,81.5701,-1103.11,1463.47
1447,Drop SX,128.861,248.09900000000002,2329.79,164.782,135.033,2306.61,204.00900000000001,-218.75599999999997,2297.93,207.167,-415.824,2269.73,174.22099999999998,49.8973,2304.52,307.779,65.0811,2225.25,488.94,42.5754,2003.79,298.461,109.00399999999999,1851.55,260.366,122.289,1821.1,174.22099999999998,49.8973,2304.52,37.3934,39.1359,2387.46,51.5323,-242.105,2442.9,-27.0775,-479.843,2408.62,-42.7994,-527.39,2401.77,306.567,-440.83099999999996,2233.58,153.459,-726.062,1958.1,153.459,-1125.91,1958.1,113.839,-459.69699999999995,2302.35,113.839,-884.773,2302.35,113.839,-1284.62,2302.35
6285,No Gesture,-221.918,397.3,2045.47,-227.062,278.061,2043.22,-217.683,-77.5864,2086.66,-209.66099999999997,-292.014,2053.49,-224.738,189.926,2053.98,-64.491,181.231,2091.31,-4.54829,-94.6427,2172.21,60.6148,-355.001,2089.37,73.6475,-407.07199999999995,2072.8,-224.738,189.926,2053.98,-388.85,172.74200000000002,2014.06,-436.245,-115.022,1979.55,-427.55199999999996,-353.17400000000004,1830.88,-425.81300000000005,-400.805,1801.14,-93.3247,-376.49699999999996,2062.49,-31.7394,-760.512,1855.36,-31.7394,-1175.0,1855.36,-322.09,-379.801,2034.27,-280.873,-772.9889999999999,1839.67,-280.873,-1187.48,1839.67
3524,Point At SX,-235.542,320.481,2223.92,-235.028,195.40599999999998,2218.57,-254.66400000000002,-146.35,2162.55,-268.252,-343.32599999999996,2116.05,-239.954,109.678,2204.52,-72.9285,102.43,2209.77,-10.48,183.392,1945.51,-41.1956,303.379,1700.95,-47.3388,327.377,1652.04,-239.954,109.678,2204.52,-383.23199999999997,86.2338,2185.18,-483.976,-174.77200000000002,2140.28,-478.381,-400.86400000000003,1985.35,-477.26199999999994,-446.082,1954.37,-164.192,-439.717,2125.57,-172.666,-864.488,2013.9,-172.666,-1270.53,2013.9,-385.00199999999995,-422.961,2092.38,-345.76199999999994,-841.855,1966.04,-345.76199999999994,-1247.9,1966.04
923,Drop SX,-17.2218,296.647,2171.0,-17.4883,173.321,2153.77,-25.7786,-181.988,2164.72,-27.1759,-372.844,2113.42,-19.4572,88.9382,2156.37,154.57,81.3052,2182.59,429.981,62.9033,2290.0,429.981,-199.075,2290.0,429.981,-303.717,2290.0,-19.4572,88.9382,2156.37,-190.625,78.8673,2155.77,-270.212,-206.25599999999997,2165.67,-265.473,-442.399,2052.33,-264.525,-489.62800000000004,2029.66,83.6386,-444.8,2107.31,84.0305,-837.362,1959.86,84.0305,-1231.44,1959.86,-137.611,-445.806,2113.42,-119.06299999999999,-829.998,1946.39,-119.06299999999999,-1224.07,1946.39
4258,Take DX,404.555,287.24,2055.81,395.23900000000003,165.122,2021.18,384.12199999999996,-182.666,2009.06,388.514,-392.87300000000005,1962.57,392.4,76.2941,2018.08,558.7330000000001,68.2424,2062.65,608.235,-221.27599999999998,2093.18,679.1260000000001,-470.545,2025.01,693.304,-520.399,2011.38,392.4,76.2941,2018.08,218.30200000000002,86.5489,2002.31,-22.0651,56.9981,1833.33,10.690999999999999,317.757,1781.0,17.2422,369.909,1770.53,494.19599999999997,-425.505,1984.34,426.912,-797.0880000000001,1756.24,426.912,-1212.07,1756.24,278.312,-409.395,1937.15,328.445,-734.4,1643.06,328.445,-1149.39,1643.06
3640,Point At SX,-180.41299999999998,276.371,2125.83,-174.995,161.834,2070.9,-194.03099999999998,-192.111,2032.61,-198.747,-383.004,1989.26,-179.646,75.3449,2061.54,-9.50436,70.2066,2027.28,99.4631,26.2583,1750.46,105.97,-2.7107200000000002,1481.61,107.272,-8.50453,1427.84,-179.646,75.3449,2061.54,-336.32800000000003,57.7463,2099.58,-387.23400000000004,-238.583,2105.64,-495.065,-471.63199999999995,2020.67,-516.632,-518.242,2003.68,-80.839,-463.89099999999996,1962.15,-87.9383,-820.0360000000001,1717.41,-87.9383,-1226.58,1717.41,-313.52099999999996,-477.931,1988.46,-237.40200000000002,-862.05,1805.57,-237.40200000000002,-1268.59,1805.57
